Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
102.0,100.7,100.5,97.9,85.3,64.4,75.9
98.7,99.7,94.2,95.8,76.6,65.5,79.6
94.9,97.0,94.5,93.7,75.2,66.6,80.5
90.9,93.9,91.7,89.9,75.2,65.7,79.1
85.4,85.3,88.2,84.3,75.7,67.2,77.0
88.3,86.5,86.8,86.5,67.8,64.0,78.1
86.9,87.5,89.5,82.7,69.4,63.3,79.2
86.1,86.1,90.6,93.0,86.5,73.2,71.1
84.5,87.7,95.8,90.4,87.9,72.0,63.4
83.6,87.1,92.2,89.8,86.2,68.2,62.2
85.2,86.9,90.9,87.5,83.7,68.1,62.4
86.4,88.2,92.5,93.4,86.5,70.6,66.2
100.3,101.6,104.6,102.4,95.0,77.6,69.2
112.7,123.4,120.5,126.2,112.0,81.8,77.8
128.2,136.3,139.9,136.2,123.0,88.3,82.8
140.7,146.8,148.5,144.3,136.1,93.1,92.1
141.8,152.3,156.6,146.3,133.3,97.3,91.8
152.8,156.0,161.3,151.3,135.6,98.5,94.5
155.2,157.2,161.3,154.4,137.2,94.9,94.0
143.5,147.3,152.2,139.1,133.8,89.6,91.0
142.2,143.3,142.9,141.2,123.3,89.5,91.3
133.2,140.0,134.4,126.1,120.1,85.8,85.1
114.7,119.6,120.2,119.4,114.5,74.1,78.6
106.7,107.4,108.7,105.7,97.8,68.2,73.8
